date_id	datetime_id	market	rpt_key	last	diff_24h	diff_per_24h	bid	ask	low	high	volume	created_at	updated_at
31-05-2017	01-06-2017 00:00	bitstamp	btc_eur	1996.72	2029.99	-1.63892433	2005.5	2005.56	1950	2063.73	2314.50075	31-05-2017 14:59	31-05-2017 14:59
31-05-2017	01-06-2017 00:00	bitflyer	btc_jpy	267098	269649	-0.946044673	267124	267267	267124	267267	70922.88011	31-05-2017 14:59	31-05-2017 14:59
31-05-2017	01-06-2017 00:00	korbit	btc_krw	3003500	3140000	-4.347133758	3003500	3004000	3002000	3209500	6109.752872	31-05-2017 14:59	31-05-2017 14:59
